RAF,n,p,nodes,edges,SCC,WC,diameter,Bet_Centrality,coloring
1,3,0.631578947368421,50,536,1,1,5,0.022636054421768702,2
1,3,0.6842105263157894,50,540,1,1,5,0.023316326530612247,2
1,3,0.7368421052631579,50,576,1,1,5,0.021411564625850338,2
1,3,0.7894736842105263,50,574,1,1,5,0.02144557823129252,2
1,3,0.8421052631578947,50,592,1,1,5,0.02074829931972789,2
1,3,0.894736842105263,50,608,1,1,4,0.020119047619047623,2
1,3,0.9473684210526315,50,606,1,1,5,0.020136054421768707,2
1,3,1.0,50,612,1,1,3,0.019948979591836738,2
0,4,0.0,158,384,1,1,10,0.020870157550799334,2
1,4,0.05263157894736842,158,758,1,1,6,0.01572820471474023,2
1,4,0.10526315789473684,158,1222,1,1,6,0.013549761534120157,2
1,4,0.15789473684210525,158,1542,1,1,5,0.012448394412435367,2
1,4,0.21052631578947367,158,1816,1,1,5,0.011705708089647457,2
1,4,0.2631578947368421,158,2020,1,1,5,0.011041063266331344,2
1,4,0.3157894736842105,158,2338,1,1,5,0.010252895804778414,2
1,4,0.3684210526315789,158,2702,1,1,5,0.00937014824783913,2
1,4,0.42105263157894735,158,2880,1,1,5,0.008928774469369486,2
1,4,0.47368421052631576,158,3162,1,1,5,0.00827860091747861,2
1,4,0.5263157894736842,158,3404,1,1,5,0.007798981635956564,2
1,4,0.5789473684210527,158,3512,1,1,5,0.00760620362732755,2
1,4,0.631578947368421,158,3700,1,1,5,0.007261994099855908,2
1,4,0.6842105263157894,158,3898,1,1,4,0.006877471744842543,2
1,4,0.7368421052631579,158,3954,1,1,4,0.006780824324966872,2
1,4,0.7894736842105263,158,4042,1,1,5,0.0066211235081669656,2
1,4,0.8421052631578947,158,4122,1,1,4,0.00648881474085054,2
1,4,0.894736842105263,158,4184,1,1,4,0.006385448516384582,2
1,4,0.9473684210526315,158,4210,1,1,4,0.0063389337153749005,2
1,4,1.0,158,4224,1,1,3,0.00631412582150307,2
0,5,0.0,438,1128,1,1,10,0.0079867934311685,2
1,5,0.05263157894736842,438,3472,1,1,6,0.005660766053080694,2
1,5,0.10526315789473684,438,5722,1,1,5,0.00510627440954321,2
1,5,0.15789473684210525,438,7798,1,1,5,0.0046674885902266245,2
1,5,0.21052631578947367,438,9920,1,1,5,0.00426323717287821,2
1,5,0.2631578947368421,438,11776,1,1,5,0.0039353640616176175,2
1,5,0.3157894736842105,438,13468,1,1,5,0.0036596640198120578,2
1,5,0.3684210526315789,438,15052,1,1,5,0.003418881829267861,2
1,5,0.42105263157894735,438,16602,1,1,5,0.0032014181488659436,2
1,5,0.47368421052631576,438,18080,1,1,5,0.0030016171015317173,2
1,5,0.5263157894736842,438,18916,1,1,5,0.0028922621562293216,2
1,5,0.5789473684210527,438,20294,1,1,5,0.0027290325852333485,2
1,5,0.631578947368421,438,21306,1,1,5,0.0026089889908832062,2
1,5,0.6842105263157894,438,22180,1,1,5,0.00251171269831638,2
1,5,0.7368421052631579,438,22858,1,1,4,0.0024374673289219414,2
1,5,0.7894736842105263,438,23324,1,1,4,0.0023928434174266397,2
1,5,0.8421052631578947,438,23846,1,1,4,0.0023373151666561706,2
1,5,0.894736842105263,438,24148,1,1,4,0.0023093712994147523,2
1,5,0.9473684210526315,438,24388,1,1,4,0.0022855255464943307,2
1,5,1.0,438,24440,1,1,3,0.002280205187551281,2
RAF,n,p,nodes,edges,SCC,WC,diameter,Bet_Centrality,coloring
0,2,0.0,14,24,1,1,10,0.239010989010989,2
0,2,0.001001001001001001,14,24,1,1,10,0.239010989010989,2
0,2,0.002002002002002002,14,24,1,1,10,0.239010989010989,2
1,2,0.003003003003003003,14,28,1,1,10,0.20329670329670327,2
0,2,0.004004004004004004,14,24,1,1,10,0.239010989010989,2
0,2,0.005005005005005005,14,24,1,1,10,0.239010989010989,2
0,2,0.006006006006006006,14,24,1,1,10,0.239010989010989,2
