,n,f,N,Mean,Std,Min,Max
0,2.0,0.2,7,2.0038666341192375,0.6045418873957514,0.0,2.8284271247461903
1,2.0,0.35,45,2.487733715108959,0.705726327678701,0.0,4.242640687119285
2,3.0,0.25,47,2.9040114933238885,0.6434911024320237,0.0,5.656854249492381
3,3.0,0.3,6,3.490690694778327,0.6940786267093,2.449489742783178,4.69041575982343
4,4.0,0.4,3,3.4950937914128564,1.0571909584179364,2.0,4.242640687119285
5,4.0,0.45,41,4.081072605291028,1.192851696914127,1.4142135623730951,7.3484692283495345
6,5.0,1.12,47,8.265322726254889,3.4019747067299053,2.449489742783178,16.24807680927192
7,6.0,1.3,43,15.782686345547823,5.703338862151721,2.8284271247461903,24.24871130596428
